/spells/2445-fortune_s_favor/,Благословение удачи [Fortune's favor],2 уровень,прорицание (дюнамантия),1 минута,60 футов,"В, С, М  (жемчужина, стоящая как минимум 100 зм, расходуемая заклинанием)",1 час,,"магия гравитургии (волшебник), магия хронургии (волшебник)",«Explorer's Guide to Wildemount»,"Вы даруете искру потенциала себе или другому согласному существу, которое вы можете видеть в пределах дистанции. Когда выбранное существо совершает бросок атаки, проверку характеристики или спасбросок до окончания заклинания, оно может окончить заклинание на себе и бросить дополнительный к20 и решить, какой из бросков использовать. В качестве альтернативы, когда по выбранному существу совершается бросок атаки, оно может окончить заклинание на себе и бросить дополнительный к20 и решить, какой из бросков использовать: цели или противника. Если оригинальный бросок к20 совершался с преимуществом или помехой, существо совершает дополнительный бросок к20 после того, как оригинальный бросок был совершён с преимуществом или помехой.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 3-го уровня или выше, вы можете сделать целью одно дополнительное существо за каждую ячейку выше второго."
/spells/10-divine_favor/,Божественное благоволение [Divine favor],1 уровень,воплощение,1 бонусное действие,На себя,"В, С","Концентрация, вплоть до 1 минуты",паладин,домен войны (жрец),«Player's handbook»,"Ваша молитва наполняет вас божественной энергией. Пока заклинание активно, ваши атаки оружием причиняют при попадании дополнительный урон 1к4 излучением."
/spells/11-spiritual_weapon/,Божественное оружие [Spiritual weapon],2 уровень,воплощение,1 бонусное действие,60 футов,"В, С",1 минута,жрец,"домен войны (жрец), домен жизни (жрец), клятва покорения (паладин)",«Player's handbook»,"Вы создаёте в пределах дистанции парящее призрачное оружие, существующее, пока заклинание активно, или пока вы не накладываете это заклинание ещё раз. Когда вы накладываете это заклинание, вы можете совершить рукопашную атаку заклинанием по существу, находящемуся в пределах 5 футов от оружия. При попадании цель получает урон силовым полем, равный 1к8 + модификатор вашей базовой характеристики.Вы можете бонусным действием в свой ход переместить оружие на 20 футов и повторить атаку по существу, находящемуся в пределах 5 футов от него.Оружие может быть любой формы. Жрецы божеств, связанных с конкретным оружием (святой Катберт известен своей булавой, а Тор — молотом), создают эффект в виде именно такого оружия.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 3-го уровня или выше, урон увеличивается на 1к8 за каждые две ячейки выше второго."
/spells/12-divine_word/,Божественное слово [Divine word],7 уровень,воплощение,1 бонусное действие,30 футов,В,Мгновенная,жрец,,«Player's handbook»,"Вы произносите божественное слово, наделённое силой, сформировавшей мир на заре творения. Выберите любое количество существ, которых вы видите в пределах дистанции. Все эти существа, слышащие вас, должны совершить спасбросок Харизмы. При провале существо попадает под действие эффекта, основанного на текущем количестве хитов:50 хитов или меньше:глухотана 1 минуту.40 хитов или меньше:глухотаислепотана 10 минут.30 хитов или меньше:слепота,глухотаиошеломлениена 1 час.20 хитов или меньше:моментальная смерть.Вне зависимости от текущих хитов, исчадия, небожители, феи и элементали, провалившие спасбросок, изгоняются на свой родной план (если только они уже там не находятся), и не могут вернуться на ваш текущий план в течение 24 часов кроме как посредством заклинанияисполнение желаний [wish]."
/spells/477-sickening_radiance/,Болезненное сияние [Sickening radiance],4 уровень,воплощение,1 действие,120 футов,"В, С","Концентрация, вплоть до 10 минут","волшебник, колдун, чародей",,«Xanathar's Guide to Everything»,"Из точки, выбранной вами в пределах дистанции, распространяется сфератусклогозеленоватого света с радиусом 30 футов. Свет огибает углы и существует до тех пор, пока заклинание не закончится.Если существо впервые за раунд входит в область заклинания или начинает в ней свой ход, оно должно преуспеть в спасброске Телосложения, иначе получит 4к10 урона излучением. Оно также получает одну степеньистощенияи само начинает испускатьтусклыйзеленоватый свет в радиусе 5 футов. Этот свет делает невозможным получение преимуществ отневидимости. Свет и любые степениистощения, вызванные этим заклинанием, проходят, когда заклинание оканчивается."
/spells/2454-reality_break/,Брешь в реальности [Reality break],8 уровень,вызов (дюнамантия: хронургия),1 действие,60 футов,"В, С, М  (кристаллическая призма)","Концентрация, вплоть до 1 минуты",,"магия гравитургии (волшебник), магия хронургии (волшебник)",«Explorer's Guide to Wildemount»,"Вы разрушаете границы между пространствами и временными линиями, погружая существо в пучину хаоса и безумия. Цель должна преуспеть в спасброске Мудрости, иначе она не может совершать реакции до начала своего следующего хода.В начале каждого своего хода существо под действием заклинания совершает бросок к10 и попадает под действие одного из эффектов, указанных ниже. В конце своего хода существо может повторить спасбросок Мудрости, при успехе оканчивая на себе эффект.Эффекты бреши в реальностик10Эффект1-2Виденье Дальнего Предела. Цель получает 6к12 урона психической энергией и являетсяошеломлённымдо конца хода.3-5Разрыв пространства. Цель совершает спасбросок Ловкости и получает 8к12 урона силовым полем при провале и половину урона при успехе.6-8Червоточина. Цель, вместе с всем, что она несёт и носит, телепортируется до 30 футов в незанятое видимое пространство по вашему выбору, получает 10к12 урона силовым полем ипадает ничком.9-10Хлад пустоты. Цель получает 10к12 урона холодом иослепленадо начала своего следующего хода."
/spells/13-acid_splash/,Брызги кислоты [Acid splash],Заговор,вызов,1 действие,60 футов,"В, С",Мгновенная,"волшебник, изобретатель, чародей",,«Player's handbook»,"Вы кидаете кислотный шарик. Выберите одно существо, которое вы видите в пределах дистанции, или два существа, которых вы видите в пределах дистанции, находящихся в пределах 5 футов друг от друга. Цель должна преуспеть в спасброске Ловкости, иначе получит 1к6 урона кислотой.Урон этого заклинания увеличивается на 1к6, когда вы достигаете 5-го уровня (2к6), 11-го уровня (3к6) и 17-го уровня (4к6)."
/spells/1921-fast_friends/,Быстрые друзья [Fast friends],3 уровень,очарование,1 действие,30 футов,В,"Концентрация, вплоть до 1 часа","бард, волшебник, жрец",,«Acquisition Incorporated»,"Когда вам нужно убедиться, что что-то сделано, вы не можете полагаться на чьи-то обещания, клятвы или обязательные трудовые договоры. Когда вы накладываете это заклинание, выберите одного гуманоида в пределах дистанции, который может видеть и слышать вас, и который может вас понять. Существо должно преуспеть в спасброске Мудрости, иначе станеточарованнымвами, пока заклинание активно. Когда существоочарованотаким образом, оно обязуется выполнять любые распоряжения, которые вы попросите его выполнить в дружеской манере, в меру своих возможностей.Вы можете дать существу новую задачу, когда предыдущая задача будет завершена, или, если вы решите, окончить действие заклинания. Если ваши распоряжения могут причинить вредочарованномусуществу или если они противоречат обычной деятельности и желаниям существа, то существо может сделать ещё один спасбросок Мудрости, чтобы попытаться досрочно окончить действие эффекта. Спасбросок совершается с преимуществом, если вы или ваши товарищи сражаетесь с этим существом. Если существо умирает, действие заклинания оканчивается.После окончания действия данного заклинания существо точно знает, кем оно былоочарованно.На больших уровнях: Когда вы накладываете это заклинание, используя ячейку заклинаний 4-го уровня или выше, вы можете нацелиться на одно дополнительное существо для каждого уровня ячейки выше 3-го."
/spells/14-swift_quiver/,Быстрый колчан  [Swift quiver],5 уровень,преобразование,1 бонусное действие,Касание,"В, С, М  (колчан, содержащий как минимум один боеприпас)","Концентрация, вплоть до 1 минуты",следопыт,,«Player's handbook»,"Вы так модифицируете свой колчан, что он начинает производить бесконечный запас немагических боеприпасов, которые сами прыгают в вашу руку, когда вы тянетесь за ними.Пока заклинание активно, вы в каждом своём ходу можете бонусным действием совершить две атаки оружием, использующим боеприпасы из колчана. Каждый раз, когда вы совершаете такую дальнобойную атаку, ваш колчан при помощи магии заменяет использованный вами боеприпас таким же немагическим боеприпасом. Все боеприпасы, созданные этим заклинанием, распадаются, когда заклинание оканчивается. Если колчан перестаёт быть вашей собственностью, заклинание оканчивается."
/spells/3848-galder_s_speedy_courier/,Быстрый курьер Галдера [Galder’s Speedy Courier],4 уровень,вызов,1 действие,10 футов,"В, С, М  (25 зм или минералы равноценной стоимости, расходуемые заклинанием)",10 минут,"волшебник, колдун",,«Lost Laboratory of Kwalish»,"Вы вызываете Маленького воздушного элементаля в точке в пределах дистанции. Элементаль воздуха бесформенен, почти прозрачен, невосприимчив ко всем типам урона и не может взаимодействовать с другими существами или объектами. Он несёт пустой открытый сундук, внутренние размеры которого составляют 3 фута с каждой стороны. Пока действует заклинание, вы можете положить в сундук столько предметов, сколько поместится. После чего вы можете назвать живое существо, которого вы встречали и видели хотя бы один раз раньше, или любое существо, чья часть тела (прядь волос, кусочек ногтя или иная подобная часть) у вас есть.Как только крышка сундука закрывается, элементаль и сундук исчезают, а затем снова появляются рядом с целевым существом. Если целевое существо находится на другом плане, или если оно защищено от магического обнаружения или определения местоположения, содержимое сундука снова появляется на земле у ваших ног.Целевое существо узнает о содержимом сундука до того, как решит, открывать его или нет, и знает, сколько времени осталось до конца заклинания, в течение которого оно может забрать содержимое сундука. Ни одно другое существо не может открыть сундук и забрать его содержимое. Когда заклинание оканчивается или когда всё содержимое сундука изъято, элементаль и сундук исчезают. Элементаль также исчезает, если целевое существо приказывает ему вернуть вам предметы. Когда элементаль исчезает, все предметы, не взятые из сундука, снова появляются на земле у ваших ног.На больших уровнях. Если вы накладываете это заклинание, используя ячейку заклинания 8-го уровня, вы можете отправить сундук существу, находящемуся на другом плане существования."
/spells/15-witch_bolt/,Ведьмин снаряд [Witch bolt],1 уровень,воплощение,1 действие,30 футов,"В, С, М  (веточка дерева, в которое ударила молния)","Концентрация, вплоть до 1 минуты","волшебник, колдун, чародей",,«Player's handbook»,"Луч потрескивающей синеватой энергии устремляется к существу в пределах дистанции, формируя между вами и целью непрерывный дуговой разряд. Совершите дальнобойную атаку заклинанием по этому существу. При попадании цель получает урон электричеством 1к12, и пока заклинание активно, вы можете в каждый свой ход действием автоматически причинять цели урон электричеством 1к12. Это заклинание оканчивается, если вы действием сделаете что-то иное. Заклинание также оканчивается, если цель окажется за пределами дистанции заклинания или получит от васполное укрытие.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, первичный урон увеличивается на 1к12 за каждый уровень ячейки выше первого."
/spells/16-mordenkainen_s_magnificent_mansion/,Великолепный особняк Морденкайнена [Mordenkainen's magnificent mansion],7 уровень,вызов,1 минута,300 футов,"В, С, М  (миниатюрная дверь из слоновой кости, кусочек полированного мрамора и крошечная серебряная ложка каждый предмет должен стоить как минимум 5 зм)",24 часа,"бард, волшебник",,«Player's handbook»,"Вы создаёте межпространственное жилище в пределах дистанции, существующее, пока заклинание активно. Вы выбираете, где будет находиться единственный вход. Вход слабо светится; он 5 футов в ширину и 10 футов в высоту. Вы и все существа, указанные вами при накладывании заклинания, можете входить в это жилище, пока дверь открыта. Вы можете открывать и закрывать дверь, если находитесь в пределах 30 футов от неё. Дверьневидима, когда закрыта.За дверью находится великолепная прихожая с многочисленными комнатами. Там свежий и тёплый воздух.Вы можете создать любую планировку, но пространство не может превышать 50 кубов с длиной ребра в 10 футов. Это место украшено и обставлено мебелью так, как вы пожелаете. Там достаточно еды для 100 человек с девятью переменами блюд. Вошедшим прислуживают 100 практически прозрачных слуг. Внешний облик и одежду этих слуг определяете вы. Они послушно исполняют все приказы. Каждый слуга может исполнять задачи, которые доступны любому человеческому слуге, но они не могут атаковать и совершать действия, причиняющие вред другому существу. Таким образом, слуги могут подавать вещи, чистить, штопать, гладить одежду, зажигать огни, подавать пищу, наливать вино и так далее. Слуги могут перемещаться по особняку, но не могут выходить из него. Мебель и другие предметы, созданные этим заклинанием, превращаются в дым, если их вынесут из особняка. Когда заклинание заканчивается, все существа, находящиеся в межпространстве, изгоняются в свободное пространство, ближайшее к входу."
/spells/17-mordenkainen_s_faithful_hound/,Верный пёс Морденкайнена [Mordenkainen's faithful hound],4 уровень,вызов,1 действие,30 футов,"В, С, М  (крошечный серебряный свисток, кусочек кости и нитка)",8 часов,"волшебник, изобретатель",,«Player's handbook»,"Вы создаёте призрачного сторожевого пса в свободном пространстве, видимом в пределах дистанции, где он и остаётся на время длительности заклинания, пока вы не отпустите его действием, или пока вы не отойдете от него более чем на 100 футов.Пёсневидимдля всех существо кроме вас, и ему нельзя причинить вред. Если в пределах 30 футов от него оказывается существо с размером Маленькое или больше, не произнося при этом пароль, указанный вами при накладывании этого заклинания, пёс начинает громко лаять. Пёс видитневидимыхсуществ и его зрение простирается на Эфирный План. Он игнорирует иллюзии.В начале каждого вашего хода пёс пытается укусить одно существо в пределах 5 футов от себя, враждебное вам. Бонус атаки пса равен вашему модификатору базовой характеристики + ваш бонус мастерства. При попадании он причиняет колющий урон 4к8."
/spells/18-continual_flame/,Вечный огонь [Continual flame],2 уровень,воплощение,1 действие,Касание,"В, С, М  (порошок рубина на 50 зм, расходуемый заклинанием)",Пока не рассеется,"волшебник, друид (Tasha's Cauldron of Everything), жрец, изобретатель",,«Player's handbook»,"Из предмета, которого вы касаетесь, исходит пламя, эквивалентное по яркости пламени факела.Эффект выглядит как обычное пламя, но не создает тепла и не использует кислород. Вечный огонь можно накрыть или спрятать, но не потушить."
/spells/19-dream/,Вещий сон  [Dream],5 уровень,иллюзия,1 минута,Особая,"В, С, М  (горсть песка, капля чернил и перо, выдернутое у спящей птицы)",8 часов,"бард, волшебник, колдун",круг земли (друид),«Player's handbook»,"Это заклинание формирует сон другого существа. Выберите целью этого заклинания известное вам существо. Цель должна находиться на одном плане существования с вами. Этим заклинанием нельзя связаться с существами, которые не спят, например, с эльфами. Вы или согласное существо, которого вы касаетесь, входите в транс, становясь посыльным. Находясь в трансе, посыльный осознаёт своё окружение, но не может совершать действий и перемещаться.Если цель спит, посыльный появляется в её сне и может беседовать с ней, пока та спит, и пока заклинание активно. Посыльный также может формировать окружение сна, создавая местность, предметы и прочие образы. Посыльный может в любое время выйти из транса, окончив эффект этого заклинания. После пробуждения цель прекрасно помнит сон. Если в момент накладывания заклинания цель бодрствует, посыльный это узнаёт, и может либо окончить транс (и заклинание), либо подождать, пока цель заснёт, и тогда он появится во сне цели.Вы можете сделать посыльного кошмарным для цели. В этом случае посыльный может передать послание не длиннее десяти слов, и цель обязана совершить спасбросок Мудрости. При провале отголоски кошмара длятся весь сон, и цель не получает преимуществ от этого отдыха. Кроме того, когда цель просыпается, она получает 3к6 урона психической энергией.Если у вас есть часть тела, клок волос, обрезки ногтей или другая подобная часть тела цели, она совершает спасбросок с помехой."
